energy,delta,beta,atlen
181,9.72069375056e-08,1.21057435128e-09,0.0450283893055
182,9.61399836686e-08,1.18782478587e-09,0.0456386389234
183,9.50916039554e-08,1.16579627703e-09,0.0462469079718
184,9.40602232469e-08,1.14429301972e-09,0.0468599028161
185,9.30454770569e-08,1.12329973639e-09,0.047477634189
186,9.20470106375e-08,1.10280167312e-09,0.0481001127895
187,9.10644786682e-08,1.08278457893e-09,0.0487273492826
188,9.00975449569e-08,1.0632346861e-09,0.0493593543003
189,8.91458821509e-08,1.0441386913e-09,0.0499961384411
190,8.82091714596e-08,1.02548373761e-09,0.0506377122707
191,8.72871023868e-08,1.00725739727e-09,0.0512840863223
192,8.63793724728e-08,9.89447655213e-10,0.0519352710968
193,8.54856870454e-08,9.72042893334e-10,0.052591277063
194,8.46057589809e-08,9.55031875368e-10,0.0532521146579
195,8.3738911752e-08,9.3850879109e-10,0.0539117586183
196,8.28858551005e-08,9.22423090851e-10,0.0545720436578
197,8.20457346461e-08,9.0669286205e-10,0.0552369935107
198,8.12182907374e-08,8.91308504214e-10,0.0559066172028
199,8.04032702149e-08,8.76260722815e-10,0.0565809237319
200,7.96004262174e-08,8.61540518047e-10,0.0572599220673
201,7.88095179942e-08,8.47139174073e-10,0.0579436211507
202,7.80303107251e-08,8.33048248709e-10,0.0586320298958
203,7.72625753453e-08,8.19259563534e-10,0.0593251571892
204,7.65060883767e-08,8.05765194405e-10,0.06002301189
205,7.57606317657e-08,7.92557462356e-10,0.0607256028303
206,7.50259927251e-08,7.79628924864e-10,0.0614329388155
207,7.43019635825e-08,7.66972367472e-10,0.0621450286244
208,7.35880749871e-08,7.5460750318e-10,0.0628596561703
209,7.28847763796e-08,7.42615822543e-10,0.0635690865464
210,7.21914923844e-08,7.30870587382e-10,0.0642830798188
211,7.15080341053e-08,7.19365595283e-10,0.0650016433973
212,7.08342170837e-08,7.08094828293e-10,0.0657247846683
213,7.01698611737e-08,6.97052446599e-10,0.0664525109955
214,6.95147904218e-08,6.86232782449e-10,0.0671848297193
215,6.88688329506e-08,6.75630334317e-10,0.0679217481576
216,6.82318208451e-08,6.65239761275e-10,0.0686632736058
217,6.76035900446e-08,6.550558776e-10,0.0694094133368
218,6.6983980236e-08,6.45073647569e-10,0.0701601746014
219,6.63728347522e-08,6.35288180464e-10,0.0709155646284
220,6.57700004724e-08,6.25694725756e-10,0.0716755906247
221,6.51753277268e-08,6.16288668474e-10,0.0724402597754
222,6.4588670203e-08,6.07065524751e-10,0.0732095792443
223,6.40097618566e-08,5.98119927413e-10,0.0739713117665
224,6.34387794095e-08,5.89363121354e-10,0.0747352480006
225,6.28753915282e-08,5.80772673166e-10,0.0755036181595
226,6.23194643189e-08,5.72344704023e-10,0.0762764280999
227,6.17708668275e-08,5.64075442142e-10,0.0770536836605
228,6.12294709626e-08,5.55961219377e-10,0.0778353906614
229,6.06951514204e-08,5.47998467929e-10,0.0786215549052
230,6.01677856127e-08,5.40183717183e-10,0.0794121821763
231,5.96472535959e-08,5.32513590651e-10,0.0802072782414
232,5.91334380033e-08,5.24984803028e-10,0.0810068488497
233,5.86262239787e-08,5.17594157349e-10,0.0818108997328
234,5.81254991125e-08,5.10338542252e-10,0.082619436605
235,5.7631153379e-08,5.03214929326e-10,0.0834324651632
236,5.71430790761e-08,4.96220370566e-10,0.0842499910876
237,5.66611707669e-08,4.89351995905e-10,0.0850720200409
